Emotions,Path
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
